sample_index_202,sample_uid,timestamp,sample_time,latitude,longitude,depth_m,station,sample,source_file,match_status,hplc_repository_url
27,paceera_agg|31,20240914T20:17:00,2024-09-14T20:17:00,34.1314,-119.3766,0.0,12,,80370ff860_PACE-PAX_SHEARWATER_HPLC_NASA_R1.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
28,paceera_agg|140,20240915T19:58:00,2024-09-15T19:58:00,33.5881,-118.1173,0.5,12,,90f845d490_PACE-PAX_BLISSFULLY_HPLC_NASA_R1.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
29,paceera_agg|32,20240915T19:58:00,2024-09-15T19:58:00,34.0144,-119.1739,0.0,14,,80370ff860_PACE-PAX_SHEARWATER_HPLC_NASA_R1.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
30,paceera_agg|141,20240915T21:31:00,2024-09-15T21:31:00,33.6364,-118.1166,0.5,13,,90f845d490_PACE-PAX_BLISSFULLY_HPLC_NASA_R1.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
31,paceera_agg|33,20240915T22:17:00,2024-09-15T22:17:00,34.1591,-119.31059999999998,0.0,15,,80370ff860_PACE-PAX_SHEARWATER_HPLC_NASA_R1.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
32,paceera_agg|34,20240917T16:34:00,2024-09-17T16:34:00,34.2263,-119.7711,0.0,16,,80370ff860_PACE-PAX_SHEARWATER_HPLC_NASA_R1.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
33,paceera_agg|142,20240917T18:26:00,2024-09-17T18:26:00,33.5943,-118.1177,0.5,14,,90f845d490_PACE-PAX_BLISSFULLY_HPLC_NASA_R1.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
34,paceera_agg|35,20240917T18:45:00,2024-09-17T18:45:00,34.1805,-119.6653,0.0,17,,80370ff860_PACE-PAX_SHEARWATER_HPLC_NASA_R1.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
35,paceera_agg|143,20240917T20:00:00,2024-09-17T20:00:00,33.5643,-118.1213,0.5,15,,90f845d490_PACE-PAX_BLISSFULLY_HPLC_NASA_R1.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
36,paceera_agg|36,20240917T20:23:00,2024-09-17T20:23:00,34.2608,-119.6197,0.0,18,,80370ff860_PACE-PAX_SHEARWATER_HPLC_NASA_R1.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
