region,scene_id,scene_file,scene_time,path,repository_relative_path,pace_repository_url,west,east,north,south,width,height,bands,wavelength_min_nm,wavelength_max_nm
R3_Indian_Ocean_A2,PACE_OCI.20250110T085650,PACE_OCI.20250110T085650.V3_L2_Rrs_L2GEN_MTS.tiff,2025-01-10T08:56:50,E:\Rrs\R3_Indian_Ocean_A2\PACE_OCI.20250110T085650.V3_L2_Rrs_L2GEN_MTS.tiff,Rrs/R3_Indian_Ocean_A2/PACE_OCI.20250110T085650.V3_L2_Rrs_L2GEN_MTS.tiff,<PACE_IMAGE_REPOSITORY_URL>,54.25562286376953,59.78866189787718,-4.300482273101807,-9.640227367153296,458,442,167,380.0,719.0
R3_Indian_Ocean_A3,PACE_OCI.20250110T085650,PACE_OCI.20250110T085650.V3_L2_Rrs_L2GEN_MTS.tiff,2025-01-10T08:56:50,E:\Rrs\R3_Indian_Ocean_A3\PACE_OCI.20250110T085650.V3_L2_Rrs_L2GEN_MTS.tiff,Rrs/R3_Indian_Ocean_A3/PACE_OCI.20250110T085650.V3_L2_Rrs_L2GEN_MTS.tiff,<PACE_IMAGE_REPOSITORY_URL>,59.20044708251953,64.8325819620486,-4.1423773765563965,-9.829406358225112,513,518,167,380.0,719.0
R3_Indian_Ocean_A4,PACE_OCI.20250110T085650,PACE_OCI.20250110T085650.V3_L2_Rrs_L2GEN_MTS.tiff,2025-01-10T08:56:50,E:\Rrs\R3_Indian_Ocean_A4\PACE_OCI.20250110T085650.V3_L2_Rrs_L2GEN_MTS.tiff,Rrs/R3_Indian_Ocean_A4/PACE_OCI.20250110T085650.V3_L2_Rrs_L2GEN_MTS.tiff,<PACE_IMAGE_REPOSITORY_URL>,64.17010498046875,69.87697755684175,-3.9882447719573975,-10.009884900504453,417,440,167,380.0,719.0
R3_Indian_Ocean_B1,PACE_OCI.20250110T085650,PACE_OCI.20250110T085650.V3_L2_Rrs_L2GEN_MTS.tiff,2025-01-10T08:56:50,E:\Rrs\R3_Indian_Ocean_B1\PACE_OCI.20250110T085650.V3_L2_Rrs_L2GEN_MTS.tiff,Rrs/R3_Indian_Ocean_B1/PACE_OCI.20250110T085650.V3_L2_Rrs_L2GEN_MTS.tiff,<PACE_IMAGE_REPOSITORY_URL>,49.2478141784668,54.78150715972258,-0.3897230625152588,-5.545163612140902,395,368,167,380.0,719.0
R3_Indian_Ocean_B2,PACE_OCI.20250110T085650,PACE_OCI.20250110T085650.V3_L2_Rrs_L2GEN_MTS.tiff,2025-01-10T08:56:50,E:\Rrs\R3_Indian_Ocean_B2\PACE_OCI.20250110T085650.V3_L2_Rrs_L2GEN_MTS.tiff,Rrs/R3_Indian_Ocean_B2/PACE_OCI.20250110T085650.V3_L2_Rrs_L2GEN_MTS.tiff,<PACE_IMAGE_REPOSITORY_URL>,54.21179962158203,59.80374430431271,-0.2534639835357666,-5.694275026192641,481,468,167,380.0,719.0
R3_Indian_Ocean_B3,PACE_OCI.20250110T085650,PACE_OCI.20250110T085650.V3_L2_Rrs_L2GEN_MTS.tiff,2025-01-10T08:56:50,E:\Rrs\R3_Indian_Ocean_B3\PACE_OCI.20250110T085650.V3_L2_Rrs_L2GEN_MTS.tiff,Rrs/R3_Indian_Ocean_B3/PACE_OCI.20250110T085650.V3_L2_Rrs_L2GEN_MTS.tiff,<PACE_IMAGE_REPOSITORY_URL>,59.20217514038086,64.80667034801078,-0.1230754852294921,-5.862890496665363,497,509,167,380.0,719.0
R3_Indian_Ocean_B4,PACE_OCI.20250110T085650,PACE_OCI.20250110T085650.V3_L2_Rrs_L2GEN_MTS.tiff,2025-01-10T08:56:50,E:\Rrs\R3_Indian_Ocean_B4\PACE_OCI.20250110T085650.V3_L2_Rrs_L2GEN_MTS.tiff,Rrs/R3_Indian_Ocean_B4/PACE_OCI.20250110T085650.V3_L2_Rrs_L2GEN_MTS.tiff,<PACE_IMAGE_REPOSITORY_URL>,64.18229675292969,69.82696916716488,0.0135705545544624,-6.025243574390422,401,429,167,380.0,719.0
R3_Indian_Ocean_C1,PACE_OCI.20250110T085650,PACE_OCI.20250110T085650.V3_L2_Rrs_L2GEN_MTS.tiff,2025-01-10T08:56:50,E:\Rrs\R3_Indian_Ocean_C1\PACE_OCI.20250110T085650.V3_L2_Rrs_L2GEN_MTS.tiff,Rrs/R3_Indian_Ocean_C1/PACE_OCI.20250110T085650.V3_L2_Rrs_L2GEN_MTS.tiff,<PACE_IMAGE_REPOSITORY_URL>,49.767086029052734,54.36252192774657,0.2150574326515197,-2.2845520519936646,239,130,167,380.0,719.0
R3_Indian_Ocean_C2,PACE_OCI.20250110T085650,PACE_OCI.20250110T085650.V3_L2_Rrs_L2GEN_MTS.tiff,2025-01-10T08:56:50,E:\Rrs\R3_Indian_Ocean_C2\PACE_OCI.20250110T085650.V3_L2_Rrs_L2GEN_MTS.tiff,Rrs/R3_Indian_Ocean_C2/PACE_OCI.20250110T085650.V3_L2_Rrs_L2GEN_MTS.tiff,<PACE_IMAGE_REPOSITORY_URL>,54.58417892456055,59.576899002536734,1.1936731338500977,-2.4321305422671786,431,313,167,380.0,719.0
R3_Indian_Ocean_C3,PACE_OCI.20250110T085650,PACE_OCI.20250110T085650.V3_L2_Rrs_L2GEN_MTS.tiff,2025-01-10T08:56:50,E:\Rrs\R3_Indian_Ocean_C3\PACE_OCI.20250110T085650.V3_L2_Rrs_L2GEN_MTS.tiff,Rrs/R3_Indian_Ocean_C3/PACE_OCI.20250110T085650.V3_L2_Rrs_L2GEN_MTS.tiff,<PACE_IMAGE_REPOSITORY_URL>,59.38109588623047,64.80425089135306,2.3503551483154297,-2.566952426828263,461,418,167,380.0,719.0
